file_id	author	title	volume	birth	death
grundtvig11val_workid118888	 N.F.S. Grundtvig	Jeg som et barn mig glæde vil	SAMLET UDGAVE	1783	1872
stuckenberg02_workid77235	 Viggo Stuckenberg	For vinden danser	SAMLEDE VÆRKER	1863	1905
hauch03val_workid83908	 Carsten Hauch	Sang af bajazet	UDVALGTE SKRIFTER III	1790	1872
plough01_workid56672	 Carl Ploug	Vers paa bellmanske melodier	SAMLEDE DIGTE	1813	1894
hjort_02_workid54087	 Knud Hjortø	Kraft	KRAFT	1869	1931
claussen04val_workid58330	 Sophus Claussen	I en frugthave	Lyrik II	1865	1931
richardt02_workid75147	 Christian Richardt	Naar jeg bli'r stor.	SAMLEDE DIGTE. ANDEN DEEL.	1831	1892
kingo09val_workid86820	 Thomas Kingo	Til frederikke leth (1871)	Digtning i udvalg	1634	1703
aakjaer01val_workid85537	 Jeppe Aakjær	An mari trajter øl	SAMLEDE VÆRKER I	1866	1930
rode_01_workid58244	 Helge Rode	Jeg fryser	HVIDE BLOMSTER	1870	1937
munp1_workid78184	 Gustaf Munch-Petersen	Ve over sejren!	samlede skrifter I	1912	1938
claussen07val_workid64097	 Sophus Claussen	Den gode rus	Lyrik V	1865	1931
aare02val_workid68659	 Emil Aarestrup	Eensomheden.	Samlede Skrifter II	1800	1856
larsenthfiredigt_workid56125	 Thøger Larsen	 baalet	Fire digtsamlinger 1904-1912	1875	1928
jacobjp08val_workid65366	 J.P. Jacobsen	Mogens (dk)	Lyrik og prosa	1847	1885
hertz10_lev_workid58012	 Henrik Hertz	Gubben og ynglingen	Blandede Digte	1798	1870
aarestrup07val_workid83832	 Emil Aarestrup	Jeg saa dig blusse og jeg skjalv ... (dk)	Udvalgte digte	1800	1856
claussen08val_workid64506	 Sophus Claussen	Den lille bajazet og kvinderne	Lyrik VI	1865	1931
aakjaer01val_workid67561	 Jeppe Aakjær	Tre trolde	SAMLEDE VÆRKER I	1866	1930
richardt02_workid89168	 Christian Richardt	Kjærlighed.	SAMLEDE DIGTE. ANDEN DEEL.	1831	1892
helgesen03_workid54456	 Poul Helgesen	Om kranke og fattige mennesker (1528)	SKRIFTER AF PAULUS HELIE BIND III	1485	1534
drachmann01_workid65712	 Holger Drachmann	Højt violinens stemme klang	SAMLEDE POETISKE SKRIFTER FØRSTE BIND	1846	1908
staffeldt01val_workid85848	 Schack von Staffeldt	Viii. tilstaaelsen	Samlede digte	1769	1826
kingo04val_workid120414	 Thomas Kingo	Saa er da dørrene tillukt	Samlede Skrifter 4	1634	1703
brorson01_workid104308	 Hans Adolph Brorson	Store gud, som dig til ære	Samlede skrifter	1694	1764
aarestrup07val_workid84358	 Emil Aarestrup	Optegnelser ii. uddrag (dk)	Udvalgte digte	1800	1856
stub02val_workid62175	 Ambrosius Stub	O du dybe fald og vaade	Digte	1705	1758
stuckenberg02_workid57741	 Viggo Stuckenberg	Vaarstemning	SAMLEDE VÆRKER	1863	1905
munp2_workid65610	 Gustaf Munch-Petersen	Midvinternatt	samlede skrifter II	1912	1938
boedtcher01_workid89689	 Ludvig Bødtcher	Du kan lignes ved en have	SAMLEDE DIGTE	1793	1874
brorson02val_workid149100	 Hans Adolph Brorson	Ach! hvorledes skal jeg skue	Samlede skrifter	1694	1764
heibergpa01val_workid124641	 Peter Andreas Heiberg	Drikkevise	Udvalgte Skrifter	1758	1841
kingo02val_workid75913	 Thomas Kingo	Det egenlige	Samlede Skrifter 2	1634	1703
hertz09_lev_workid76105	 Henrik Hertz	N. lang nissen	Digte fra forskjellige Perioder	1798	1870
brorson02val_workid101637	 Hans Adolph Brorson	Det koster ey for megen striid	Samlede skrifter	1694	1764
staffeldt01val_workid74244	 Schack von Staffeldt	V. søefarten	Samlede digte	1769	1826
staffeldt01val_workid91222	 Schack von Staffeldt	Fuldendelse	Samlede digte	1769	1826
aare04val_workid59781	 Emil Aarestrup	Til frøken christine rosenørn-lehn	Samlede Skrifter IV	1800	1856
grundtvig09val_workid64460	 N.F.S. Grundtvig	Henrich steffens	UDVALGTE SKRIFTER	1783	1872
grundtvig11val_workid71363	 N.F.S. Grundtvig	Verden er, som man den tager	SAMLET UDGAVE	1783	1872
juelh02val_workid56408	 Erna Juel-Hansen	En konfirmand	SEX NOVELLER	1845	1922
richardt01_workid92806	 Christian Richardt	Fra studentermødet.	SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL	1831	1892
claussen11val_workid71797	 Sophus Claussen	Palmesøndag	Lyrik IX:1	1865	1931
hcaeventyr02val_workid82056	 Hans Christian Andersen	Hyldemoer.	Eventyr II	1805	1875
richardt03_workid70735	 Christian Richardt	Den ene og samme.	SAMLEDE DIGTE. TREDJE DEEL.	1831	1892
hertz09_lev_workid74432	 Henrik Hertz	De blinde	Digte fra forskjellige Perioder	1798	1870
munp2_workid60780	 Gustaf Munch-Petersen	Sjælland og digteren	samlede skrifter II	1912	1938
michs_03_workid63845	 Sophus Michaëlis	Sang til solen	SOLBLOMSTER	1865	1932
munp2_workid60416	 Gustaf Munch-Petersen	My evening has come	samlede skrifter II	1912	1938
blich06_workid84994	 Steen Steensen Blicher	Skovduen	Udvalgte Værker	1782	1848
richardt01_workid68491	 Christian Richardt	Efter upsalatoget.	SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL	1831	1892
rode_13_workid58249	 Helge Rode	Den første august	DEN VILDE ROSE	1870	1937
worm01val_workid106293	 Jacob Worms	Natalem augustissimi ac serenissimi regis	SKRIFTER	1642	1693
wesselhhl_workid85348	 Johan Herman Wessel	Provst hersom	Samlede Digte	1742	1785
stuckenberg02_workid101566	 Viggo Stuckenberg	Marts	SAMLEDE VÆRKER	1863	1905
aare03val_workid59575	 Emil Aarestrup	Stævnemødet	Aarestrup vol 3	1800	1856
richardt02_workid89254	 Christian Richardt	Matthæus.	SAMLEDE DIGTE. ANDEN DEEL.	1831	1892
holb11val_workid67585	 Ludvig Holberg	Epistola 434	"Værker i tolv bind, XI<lb xml:id=""idm140209967157744""/> EPISTLER"	1684	1754
blic03val_workid64554	 Steen Steensen Blicher	Juleferierne (dk)	Noveller	1782	1848
grundtvig11val_workid77740	 N.F.S. Grundtvig	Paradis-gaard og folke-vang	SAMLET UDGAVE	1783	1872
hjort_09_workid54555	 Knud Hjortø	Pe svenden og hans søn	INDENSOGNS OG UDENSOGNS NOVELLER	1869	1931
wintherchr01val_workid98463	 Christian Winther	Naar bølgen langsomt vugger	Poetiske Skrifter 1	1796	1876
hertz10_lev_workid66612	 Henrik Hertz	Nu kan i dømme	Blandede Digte	1798	1870
aakjaer02val_workid82574	 Jeppe Aakjær	Efteraar.	SAMLEDE VÆRKER II	1866	1930
munp2_workid68820	 Gustaf Munch-Petersen	Flygt!	samlede skrifter II	1912	1938
brorson02val_workid67735	 Hans Adolph Brorson	Troens rare klenodie, 4. del. troens frugt	Samlede skrifter	1694	1764
ewald05val_workid93817	 Johannes Ewald	Samtlige skrifter i, tilegnelse (1780)	Samlede skrifter	1743	1781
baggesen06_workid54102	 Jens Baggesen	O.t.	LABYRINTEN	1764	1826
munp1_workid72193	 Gustaf Munch-Petersen	Tanker	samlede skrifter I	1912	1938
michs_03_workid66333	 Sophus Michaëlis	Kornmod	SOLBLOMSTER	1865	1932
aakjaer02val_workid77015	 Jeppe Aakjær	Bondefjol.	SAMLEDE VÆRKER II	1866	1930
hertz10_lev_workid68045	 Henrik Hertz	Antonie	Blandede Digte	1798	1870
rode_04_workid59312	 Helge Rode	Tilfjelds	ARIEL. EN DIGTSAMLING	1870	1937
kaalund01_workid74715	 H. V. Kaalund	Til naturen.	SAMLEDE DIGTE	1818	1885
richardt01_workid72099	 Christian Richardt	Den vilde rosenbusk.	SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL	1831	1892
kaalund01_workid76549	 H. V. Kaalund	Lænkegrisen.	SAMLEDE DIGTE	1818	1885
aakjaer02val_workid100393	 Jeppe Aakjær	Avisdrengen. (carl snoilsky.)	SAMLEDE VÆRKER II	1866	1930
grundtvig11val_workid148916	 N.F.S. Grundtvig	Gud-fader udsendte sit naadens-ord	SAMLET UDGAVE	1783	1872
bording01val_workid103612	 Anders Bording	Hvad holder det dog hart, før nogen sig opsvinger	Digte	1619	1677
drachmann01_workid79513	 Holger Drachmann	Til mesteren	SAMLEDE POETISKE SKRIFTER FØRSTE BIND	1846	1908
baggesen02val_workid57867	 Jens Baggesen	Brevlængselen	Riimbreve og Epistler	1764	1826
