Fil;Mediatyp;Författare;Verk;Utgiven;Införd;Sidor;file_id
lb114774.xml;faksimil;Johan Henrik Kellgren, Sverker Ek, Allan Sjöding;Samlade skrifter VIII:1;1964–1967;2011-09-06;sidor;lb114774_93.txt
lb443652.xml;faksimil;August Strindberg;Blomstermålningar och djurstycken [1888];1888;2017-01-30;sidor;lb443652_1448.txt
lb2623648.xml;etext;Samuel August Duse;Doktor Smirnos dagbok;1917;2007-09-14;sidor;lb2623648_1269.txt
lb1346499.xml;etext;Hilma Angered Strandberg;Barbarens son;1924;2014-02-17;sidor;lb1346499_239.txt
lb1644023.xml;etext;Erik Bore;Vildmarkens barn;1900;2012-09-19;sidor;lb1644023_522.txt
lb159675.xml;faksimil;August Strindberg, Lars Dahlbäck, Göran Rossholm;Le plaidoyer d’un fou. Första delen. Text;1978;2011-08-04;sidor;lb159675_382.txt
lb1631349.xml;etext;Hjalmar Bergman;Loewenhistorier;1913;2009-03-13;sidor;lb1631349_490.txt
lb99904054.xml;etext;Gustaf III;Bref om Akademiens Inrättning;1801;2012-03-16;sidor;lb99904054_1853.txt
lb99909062.xml;faksimil;August Strindberg, Gunnar Ollén;Samlade Verk 62. Abu Casems tofflor. Stora landsvägen. Textkritisk kommentar;2014;2015-03-25;sidor;lb99909062_1977.txt
lb1667840.xml;faksimil;Carl Fredric Dahlgren;Freja. Poetisk kalender II;1831;2017-05-22;sidor;lb1667840_568.txt
lb8237164.xml;etext;Josef Julius Wecksell;Valda ungdomsdikter;1860;2007-09-18;sidor;lb8237164_1686.txt
lb8235952.xml;faksimil;Israel Holmström;Samlade dikter I;1999;2015-03-07;sidor;lb8235952_1683.txt
lb1635819.xml;etext;Alfred Kämpe;Segrare;1912;2015-06-24;sidor;lb1635819_497.txt
lb262922.xml;etext;August Strindberg, Per Erik Ekholm;Samlade Verk 23. Bland franska bönder;1982;2009-06-11;sidor;lb262922_1277.txt
lb1664213.xml;etext;Anna Wahlenberg;Interiörer. Skisser;1900;2012-11-19;sidor;lb1664213_564.txt
lb99909038.xml;faksimil;August Strindberg, Ann-Charlotte Gavel Adams;Samlade Verk 38. Legender. Textkritisk kommentar;2015;2015-08-23;sidor;lb99909038_1955.txt
lb99909058.xml;faksimil;August Strindberg, Gunnar Ollén;Samlade Verk 58. Kammarspel. Textkritisk kommentar;2014;2015-03-25;sidor;lb99909058_1974.txt
