file_id	author	title	volume	birth	death	genre	types	tokens	ratio
grundtvig11val_workid118888	 N.F.S. Grundtvig	Jeg som et barn mig glæde vil	SAMLET UDGAVE	1783	1872	poems	162	328	0.49390
stuckenberg02_workid77235	 Viggo Stuckenberg	For vinden danser	SAMLEDE VÆRKER	1863	1905	poems	89	131	0.67939
hauch03val_workid83908	 Carsten Hauch	Sang af bajazet	UDVALGTE SKRIFTER III	1790	1872	poems	183	360	0.50833
plough01_workid56672	 Carl Ploug	Vers paa bellmanske melodier	SAMLEDE DIGTE	1813	1894	monographs	204	328	0.62195
hjort_02_workid54087	 Knud Hjortø	Kraft	KRAFT	1869	1931	monographs	8317	66331	0.12539
claussen04val_workid58330	 Sophus Claussen	I en frugthave	Lyrik II	1865	1931	poems	129	224	0.57589
richardt02_workid75147	 Christian Richardt	Naar jeg bli'r stor.	SAMLEDE DIGTE. ANDEN DEEL.	1831	1892	poems	105	251	0.41833
kingo09val_workid86820	 Thomas Kingo	Til frederikke leth (1871)	Digtning i udvalg	1634	1703	poems	66	97	0.68041
aakjaer01val_workid85537	 Jeppe Aakjær	An mari trajter øl	SAMLEDE VÆRKER I	1866	1930	poems	376	1028	0.36576
rode_01_workid58244	 Helge Rode	Jeg fryser	HVIDE BLOMSTER	1870	1937	poems	77	126	0.61111
munp1_workid78184	 Gustaf Munch-Petersen	Ve over sejren!	samlede skrifter I	1912	1938	poems	101	146	0.69178
claussen07val_workid64097	 Sophus Claussen	Den gode rus	Lyrik V	1865	1931	poems	101	215	0.46977
aare02val_workid68659	 Emil Aarestrup	Eensomheden.	Samlede Skrifter II	1800	1856	poems	65	113	0.57522
larsenthfiredigt_workid56125	 Thøger Larsen	 baalet	Fire digtsamlinger 1904-1912	1875	1928	monographs	98	163	0.60123
jacobjp08val_workid65366	 J.P. Jacobsen	Mogens (dk)	Lyrik og prosa	1847	1885	monographs	2981	15647	0.19052
hertz10_lev_workid58012	 Henrik Hertz	Gubben og ynglingen	Blandede Digte	1798	1870	poems	186	408	0.45588
aarestrup07val_workid83832	 Emil Aarestrup	Jeg saa dig blusse og jeg skjalv ... (dk)	Udvalgte digte	1800	1856	plays	27	37	0.72973
claussen08val_workid64506	 Sophus Claussen	Den lille bajazet og kvinderne	Lyrik VI	1865	1931	poems	127	198	0.64141
aakjaer01val_workid67561	 Jeppe Aakjær	Tre trolde	SAMLEDE VÆRKER I	1866	1930	poems	59	75	0.78667
richardt02_workid89168	 Christian Richardt	Kjærlighed.	SAMLEDE DIGTE. ANDEN DEEL.	1831	1892	poems	60	87	0.68966
helgesen03_workid54456	 Poul Helgesen	Om kranke og fattige mennesker (1528)	SKRIFTER AF PAULUS HELIE BIND III	1485	1534	monographs	2141	10891	0.19658
drachmann01_workid65712	 Holger Drachmann	Højt violinens stemme klang	SAMLEDE POETISKE SKRIFTER FØRSTE BIND	1846	1908	poems	143	233	0.61373
staffeldt01val_workid85848	 Schack von Staffeldt	Viii. tilstaaelsen	Samlede digte	1769	1826	poems	67	96	0.69792
kingo04val_workid120414	 Thomas Kingo	Saa er da dørrene tillukt	Samlede Skrifter 4	1634	1703	monographs	272	512	0.53125
brorson01_workid104308	 Hans Adolph Brorson	Store gud, som dig til ære	Samlede skrifter	1694	1764	monographs	384	934	0.41113
aarestrup07val_workid84358	 Emil Aarestrup	Optegnelser ii. uddrag (dk)	Udvalgte digte	1800	1856	plays	362	627	0.57735
stub02val_workid62175	 Ambrosius Stub	O du dybe fald og vaade	Digte	1705	1758	monographs	216	385	0.56104
stuckenberg02_workid57741	 Viggo Stuckenberg	Vaarstemning	SAMLEDE VÆRKER	1863	1905	poems	85	126	0.67460
munp2_workid65610	 Gustaf Munch-Petersen	Midvinternatt	samlede skrifter II	1912	1938	poems	41	56	0.73214
boedtcher01_workid89689	 Ludvig Bødtcher	Du kan lignes ved en have	SAMLEDE DIGTE	1793	1874	poems	63	94	0.67021
brorson02val_workid149100	 Hans Adolph Brorson	Ach! hvorledes skal jeg skue	Samlede skrifter	1694	1764	monographs	351	800	0.43875
heibergpa01val_workid124641	 Peter Andreas Heiberg	Drikkevise	Udvalgte Skrifter	1758	1841	poems	77	182	0.42308
kingo02val_workid75913	 Thomas Kingo	Det egenlige	Samlede Skrifter 2	1634	1703	poems	105	170	0.61765
hertz09_lev_workid76105	 Henrik Hertz	N. lang nissen	Digte fra forskjellige Perioder	1798	1870	plays	268	535	0.50093
brorson02val_workid101637	 Hans Adolph Brorson	Det koster ey for megen striid	Samlede skrifter	1694	1764	monographs	378	905	0.41768
staffeldt01val_workid74244	 Schack von Staffeldt	V. søefarten	Samlede digte	1769	1826	poems	82	116	0.70690
staffeldt01val_workid91222	 Schack von Staffeldt	Fuldendelse	Samlede digte	1769	1826	poems	17	19	0.89474
aare04val_workid59781	 Emil Aarestrup	Til frøken christine rosenørn-lehn	Samlede Skrifter IV	1800	1856	poems	191	307	0.62215
grundtvig09val_workid64460	 N.F.S. Grundtvig	Henrich steffens	UDVALGTE SKRIFTER	1783	1872	monographs	390	824	0.47330
grundtvig11val_workid71363	 N.F.S. Grundtvig	Verden er, som man den tager	SAMLET UDGAVE	1783	1872	poems	249	506	0.49209
juelh02val_workid56408	 Erna Juel-Hansen	En konfirmand	SEX NOVELLER	1845	1922	monographs	1785	6023	0.29636
richardt01_workid92806	 Christian Richardt	Fra studentermødet.	SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL	1831	1892	poems	218	409	0.53301
