file_id,fw-og,fw-i,fw-det,fw-den,fw-at,fw-jeg,fw-som,fw-en,fw-er,fw-til,fw-med,fw-de,fw-paa,fw-han,fw-af,fw-saa,fw-der,fw-for,fw-var,fw-du,fw-men,fw-ikke,fw-et,fw-mig,fw-sig,fw-om,fw-har,fw-hun,fw-da,fw-min,fw-ved,fw-fra,fw-nu,fw-vi,fw-hans,fw-sin,fw-hvor,fw-dig,fw-ham,fw-skal,fw-vil,fw-hvad,fw-din,fw-havde,fw-naar,fw-kan,fw-dog,fw-dem,fw-man,fw-over,fw-her,fw-alle,fw-kun,fw-os,fw-selv,fw-blev,fw-ud,fw-mit,fw-gud,fw-end,fw-op,fw-sagde,fw-ja,fw-ei,fw-kom,fw-mod,fw-alt,fw-o,fw-være,fw-kunde,fw-vor,fw-sit,fw-vel,fw-oc,fw-ingen,fw-jo,fw-eller,fw-vilde,fw-maa,fw-denne,fw-hand,fw-efter,fw-thi,fw-ind,fw-deres,fw-dit,fw-gik,fw-hendes,fw-hver,fw-under,fw-hende,fw-aldrig,fw-ned,fw-ej,fw-ey,fw-gamle,fw-have,fw-skulde,fw-lille,fw-hvis
grundtvig11val_workid118888,12,6,4,3,0,4,5,3,10,3,3,0,3,1,0,0,0,0,0,0,0,0,3,6,0,0,1,0,1,3,0,0,0,0,3,0,2,2,1,5,2,1,0,0,0,1,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
stuckenberg02_workid77235,1,6,1,3,0,0,0,4,3,0,0,1,0,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hauch03val_workid83908,10,6,3,5,0,17,3,4,0,0,4,4,3,0,2,0,2,4,2,6,3,2,1,9,0,2,1,0,3,4,0,1,2,0,0,0,0,4,0,2,0,0,6,2,1,1,2,3,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,7,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1
plough01_workid56672,11,5,2,5,0,0,1,2,3,2,1,2,2,0,3,0,5,0,0,0,0,0,1,0,2,1,0,0,3,0,0,2,0,0,0,0,5,0,0,5,0,2,0,1,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0,0,1,2,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
claussen04val_workid58330,8,3,3,1,0,4,4,2,5,0,0,3,0,0,0,2,2,0,1,4,1,1,2,6,0,4,1,0,3,5,1,1,1,1,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richardt02_workid75147,4,2,1,1,3,21,2,4,1,3,1,0,3,2,0,15,0,1,0,0,0,3,1,6,0,2,0,0,0,2,1,0,0,0,0,0,1,0,1,4,10,1,0,0,5,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
aakjaer01val_workid85537,27,7,13,8,0,0,11,33,11,2,4,7,1,14,6,18,10,4,0,0,7,0,0,1,3,3,0,4,9,0,3,0,1,0,5,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,3,0,0,6,0,0,0,0,4,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rode_01_workid58244,6,0,2,0,0,4,0,2,4,0,2,0,0,0,0,1,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
munp1_workid78184,0,0,1,0,2,4,1,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
claussen07val_workid64097,6,6,4,1,3,1,3,2,2,0,2,1,0,11,3,3,0,3,3,0,2,4,0,3,1,0,2,0,1,8,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
