file_id,author,title,volume,birth,death,wordcount
grundtvig11val_workid118888, N.F.S. Grundtvig,Jeg som et barn mig glæde vil,SAMLET UDGAVE,1783,1872,340.0
stuckenberg02_workid77235, Viggo Stuckenberg,For vinden danser,SAMLEDE VÆRKER,1863,1905,131.0
hauch03val_workid83908, Carsten Hauch,Sang af bajazet,UDVALGTE SKRIFTER III,1790,1872,360.0
plough01_workid56672, Carl Ploug,Vers paa bellmanske melodier,SAMLEDE DIGTE,1813,1894,333.0
claussen04val_workid58330, Sophus Claussen,I en frugthave,Lyrik II,1865,1931,224.0
richardt02_workid75147, Christian Richardt,Naar jeg bli'r stor.,SAMLEDE DIGTE. ANDEN DEEL.,1831,1892,251.0
aakjaer01val_workid85537, Jeppe Aakjær,An mari trajter øl,SAMLEDE VÆRKER I,1866,1930,1031.0
rode_01_workid58244, Helge Rode,Jeg fryser,HVIDE BLOMSTER,1870,1937,124.0
munp1_workid78184, Gustaf Munch-Petersen,Ve over sejren!,samlede skrifter I,1912,1938,146.0
claussen07val_workid64097, Sophus Claussen,Den gode rus,Lyrik V,1865,1931,211.0
aare02val_workid68659, Emil Aarestrup,Eensomheden.,Samlede Skrifter II,1800,1856,113.0
larsenthfiredigt_workid56125, Thøger Larsen, baalet,Fire digtsamlinger 1904-1912,1875,1928,163.0
hertz10_lev_workid58012, Henrik Hertz,Gubben og ynglingen,Blandede Digte,1798,1870,408.0
claussen08val_workid64506, Sophus Claussen,Den lille bajazet og kvinderne,Lyrik VI,1865,1931,198.0
drachmann01_workid65712, Holger Drachmann,Højt violinens stemme klang,SAMLEDE POETISKE SKRIFTER FØRSTE BIND,1846,1908,232.0
kingo04val_workid120414, Thomas Kingo,Saa er da dørrene tillukt,Samlede Skrifter 4,1634,1703,515.0
brorson01_workid104308, Hans Adolph Brorson,"Store gud, som dig til ære",Samlede skrifter,1694,1764,983.0
aarestrup07val_workid84358, Emil Aarestrup,Optegnelser ii. uddrag (dk),Udvalgte digte,1800,1856,636.0
stub02val_workid62175, Ambrosius Stub,O du dybe fald og vaade,Digte,1705,1758,418.0
stuckenberg02_workid57741, Viggo Stuckenberg,Vaarstemning,SAMLEDE VÆRKER,1863,1905,126.0
brorson02val_workid149100, Hans Adolph Brorson,Ach! hvorledes skal jeg skue,Samlede skrifter,1694,1764,830.0
heibergpa01val_workid124641, Peter Andreas Heiberg,Drikkevise,Udvalgte Skrifter,1758,1841,182.0
kingo02val_workid75913, Thomas Kingo,Det egenlige,Samlede Skrifter 2,1634,1703,177.0
